t,x,y
0.000000000000000000e+00,0.000000000000000000e+00,3.100000000000000000e+01
0.000000000000000000e+00,6.300000000000000000e+01,1.300000000000000000e+01
0.000000000000000000e+00,8.500000000000000000e+01,1.000000000000000000e+00
0.000000000000000000e+00,1.060000000000000000e+02,0.000000000000000000e+00
0.000000000000000000e+00,1.460000000000000000e+02,1.600000000000000000e+01
0.000000000000000000e+00,1.600000000000000000e+02,1.600000000000000000e+01
0.000000000000000000e+00,2.130000000000000000e+02,1.300000000000000000e+01
0.000000000000000000e+00,2.550000000000000000e+02,1.600000000000000000e+01
0.000000000000000000e+00,2.750000000000000000e+02,1.500000000000000000e+01
0.000000000000000000e+00,2.970000000000000000e+02,1.500000000000000000e+01
0.000000000000000000e+00,3.390000000000000000e+02,1.600000000000000000e+01
0.000000000000000000e+00,3.620000000000000000e+02,1.600000000000000000e+01
0.000000000000000000e+00,4.050000000000000000e+02,3.100000000000000000e+01
0.000000000000000000e+00,4.470000000000000000e+02,1.600000000000000000e+01
0.000000000000000000e+00,4.790000000000000000e+02,1.500000000000000000e+01
0.000000000000000000e+00,4.890000000000000000e+02,1.500000000000000000e+01
0.000000000000000000e+00,5.430000000000000000e+02,1.500000000000000000e+01
0.000000000000000000e+00,5.540000000000000000e+02,3.100000000000000000e+01
0.000000000000000000e+00,5.760000000000000000e+02,1.600000000000000000e+01
0.000000000000000000e+00,6.380000000000000000e+02,1.500000000000000000e+01
0.000000000000000000e+00,6.610000000000000000e+02,1.000000000000000000e+00
0.000000000000000000e+00,7.030000000000000000e+02,2.000000000000000000e+00
0.000000000000000000e+00,7.250000000000000000e+02,1.200000000000000000e+01
0.000000000000000000e+00,7.460000000000000000e+02,2.000000000000000000e+00
0.000000000000000000e+00,7.990000000000000000e+02,1.500000000000000000e+01
0.000000000000000000e+00,8.290000000000000000e+02,1.500000000000000000e+01
0.000000000000000000e+00,8.540000000000000000e+02,1.500000000000000000e+01
0.000000000000000000e+00,8.740000000000000000e+02,4.000000000000000000e+00
0.000000000000000000e+00,9.170000000000000000e+02,1.000000000000000000e+00
0.000000000000000000e+00,9.590000000000000000e+02,1.600000000000000000e+01
0.000000000000000000e+00,9.810000000000000000e+02,1.600000000000000000e+01
0.000000000000000000e+00,1.002000000000000000e+03,1.500000000000000000e+01
0.000000000000000000e+00,2.100000000000000000e+01,4.500000000000000000e+01
0.000000000000000000e+00,1.100000000000000000e+01,4.000000000000000000e+01
0.000000000000000000e+00,5.100000000000000000e+01,6.100000000000000000e+01
0.000000000000000000e+00,6.400000000000000000e+01,6.200000000000000000e+01
0.000000000000000000e+00,1.060000000000000000e+02,3.200000000000000000e+01
0.000000000000000000e+00,1.470000000000000000e+02,3.700000000000000000e+01
0.000000000000000000e+00,1.600000000000000000e+02,3.700000000000000000e+01
0.000000000000000000e+00,1.920000000000000000e+02,5.800000000000000000e+01
0.000000000000000000e+00,2.550000000000000000e+02,3.700000000000000000e+01
0.000000000000000000e+00,2.750000000000000000e+02,3.700000000000000000e+01
0.000000000000000000e+00,3.170000000000000000e+02,5.600000000000000000e+01
0.000000000000000000e+00,3.240000000000000000e+02,3.700000000000000000e+01
0.000000000000000000e+00,3.610000000000000000e+02,3.700000000000000000e+01
0.000000000000000000e+00,4.050000000000000000e+02,3.600000000000000000e+01
0.000000000000000000e+00,4.470000000000000000e+02,3.700000000000000000e+01
0.000000000000000000e+00,4.680000000000000000e+02,5.800000000000000000e+01
0.000000000000000000e+00,5.110000000000000000e+02,6.300000000000000000e+01
0.000000000000000000e+00,5.240000000000000000e+02,6.200000000000000000e+01
0.000000000000000000e+00,5.440000000000000000e+02,6.300000000000000000e+01
0.000000000000000000e+00,5.970000000000000000e+02,5.500000000000000000e+01
0.000000000000000000e+00,6.390000000000000000e+02,3.900000000000000000e+01
0.000000000000000000e+00,6.610000000000000000e+02,5.600000000000000000e+01
0.000000000000000000e+00,6.820000000000000000e+02,5.700000000000000000e+01
0.000000000000000000e+00,7.350000000000000000e+02,5.300000000000000000e+01
0.000000000000000000e+00,7.460000000000000000e+02,5.300000000000000000e+01
0.000000000000000000e+00,7.890000000000000000e+02,3.700000000000000000e+01
0.000000000000000000e+00,8.300000000000000000e+02,3.700000000000000000e+01
0.000000000000000000e+00,8.510000000000000000e+02,3.700000000000000000e+01
0.000000000000000000e+00,8.640000000000000000e+02,3.700000000000000000e+01
0.000000000000000000e+00,9.170000000000000000e+02,3.700000000000000000e+01
0.000000000000000000e+00,9.590000000000000000e+02,3.600000000000000000e+01
0.000000000000000000e+00,9.630000000000000000e+02,3.700000000000000000e+01
0.000000000000000000e+00,1.002000000000000000e+03,3.300000000000000000e+01
0.000000000000000000e+00,2.100000000000000000e+01,7.900000000000000000e+01
0.000000000000000000e+00,5.600000000000000000e+01,6.400000000000000000e+01
0.000000000000000000e+00,8.000000000000000000e+01,7.700000000000000000e+01
0.000000000000000000e+00,1.000000000000000000e+02,7.700000000000000000e+01
0.000000000000000000e+00,1.420000000000000000e+02,9.000000000000000000e+01
0.000000000000000000e+00,1.800000000000000000e+02,9.000000000000000000e+01
0.000000000000000000e+00,1.920000000000000000e+02,9.500000000000000000e+01
0.000000000000000000e+00,2.360000000000000000e+02,7.900000000000000000e+01
0.000000000000000000e+00,2.560000000000000000e+02,7.900000000000000000e+01
0.000000000000000000e+00,3.170000000000000000e+02,7.800000000000000000e+01
0.000000000000000000e+00,3.200000000000000000e+02,9.500000000000000000e+01
0.000000000000000000e+00,3.830000000000000000e+02,7.900000000000000000e+01
0.000000000000000000e+00,3.870000000000000000e+02,7.900000000000000000e+01
0.000000000000000000e+00,4.470000000000000000e+02,7.900000000000000000e+01
0.000000000000000000e+00,4.790000000000000000e+02,9.400000000000000000e+01
0.000000000000000000e+00,4.850000000000000000e+02,8.900000000000000000e+01
0.000000000000000000e+00,4.880000000000000000e+02,8.600000000000000000e+01
0.000000000000000000e+00,5.390000000000000000e+02,6.500000000000000000e+01
0.000000000000000000e+00,5.160000000000000000e+02,6.400000000000000000e+01
0.000000000000000000e+00,5.590000000000000000e+02,7.000000000000000000e+01
0.000000000000000000e+00,5.710000000000000000e+02,7.300000000000000000e+01
0.000000000000000000e+00,5.830000000000000000e+02,7.800000000000000000e+01
0.000000000000000000e+00,5.760000000000000000e+02,7.500000000000000000e+01
0.000000000000000000e+00,6.110000000000000000e+02,8.900000000000000000e+01
0.000000000000000000e+00,6.400000000000000000e+02,9.500000000000000000e+01
0.000000000000000000e+00,6.820000000000000000e+02,8.100000000000000000e+01
0.000000000000000000e+00,7.040000000000000000e+02,7.900000000000000000e+01
0.000000000000000000e+00,7.670000000000000000e+02,7.900000000000000000e+01
0.000000000000000000e+00,7.890000000000000000e+02,7.900000000000000000e+01
0.000000000000000000e+00,8.310000000000000000e+02,7.900000000000000000e+01
0.000000000000000000e+00,8.320000000000000000e+02,6.800000000000000000e+01
0.000000000000000000e+00,8.740000000000000000e+02,7.900000000000000000e+01
0.000000000000000000e+00,9.170000000000000000e+02,6.400000000000000000e+01
0.000000000000000000e+00,9.590000000000000000e+02,7.900000000000000000e+01
0.000000000000000000e+00,9.910000000000000000e+02,7.900000000000000000e+01
0.000000000000000000e+00,1.020000000000000000e+03,7.900000000000000000e+01
0.000000000000000000e+00,2.100000000000000000e+01,9.600000000000000000e+01
0.000000000000000000e+00,4.200000000000000000e+01,1.030000000000000000e+02
0.000000000000000000e+00,9.500000000000000000e+01,1.270000000000000000e+02
0.000000000000000000e+00,1.140000000000000000e+02,9.900000000000000000e+01
0.000000000000000000e+00,1.280000000000000000e+02,9.600000000000000000e+01
0.000000000000000000e+00,1.910000000000000000e+02,9.900000000000000000e+01
0.000000000000000000e+00,2.020000000000000000e+02,1.180000000000000000e+02
0.000000000000000000e+00,2.540000000000000000e+02,1.010000000000000000e+02
0.000000000000000000e+00,2.580000000000000000e+02,1.010000000000000000e+02
0.000000000000000000e+00,2.980000000000000000e+02,1.220000000000000000e+02
0.000000000000000000e+00,3.210000000000000000e+02,1.010000000000000000e+02
0.000000000000000000e+00,3.830000000000000000e+02,1.220000000000000000e+02
0.000000000000000000e+00,3.870000000000000000e+02,1.220000000000000000e+02
0.000000000000000000e+00,4.470000000000000000e+02,1.220000000000000000e+02
0.000000000000000000e+00,4.650000000000000000e+02,1.130000000000000000e+02
0.000000000000000000e+00,4.700000000000000000e+02,1.060000000000000000e+02
0.000000000000000000e+00,4.810000000000000000e+02,1.010000000000000000e+02
0.000000000000000000e+00,4.850000000000000000e+02,1.010000000000000000e+02
0.000000000000000000e+00,5.120000000000000000e+02,1.010000000000000000e+02
0.000000000000000000e+00,5.160000000000000000e+02,1.010000000000000000e+02
0.000000000000000000e+00,5.540000000000000000e+02,1.010000000000000000e+02
0.000000000000000000e+00,5.540000000000000000e+02,9.700000000000000000e+01
0.000000000000000000e+00,5.800000000000000000e+02,1.220000000000000000e+02
0.000000000000000000e+00,5.840000000000000000e+02,1.220000000000000000e+02
0.000000000000000000e+00,6.270000000000000000e+02,1.020000000000000000e+02
0.000000000000000000e+00,6.300000000000000000e+02,1.050000000000000000e+02
0.000000000000000000e+00,6.460000000000000000e+02,1.230000000000000000e+02
0.000000000000000000e+00,6.820000000000000000e+02,9.900000000000000000e+01
0.000000000000000000e+00,7.040000000000000000e+02,9.600000000000000000e+01
0.000000000000000000e+00,7.460000000000000000e+02,1.000000000000000000e+02
0.000000000000000000e+00,7.890000000000000000e+02,9.600000000000000000e+01
0.000000000000000000e+00,8.310000000000000000e+02,1.030000000000000000e+02
0.000000000000000000e+00,8.320000000000000000e+02,1.070000000000000000e+02
0.000000000000000000e+00,8.740000000000000000e+02,1.030000000000000000e+02
0.000000000000000000e+00,9.170000000000000000e+02,9.900000000000000000e+01
0.000000000000000000e+00,9.590000000000000000e+02,1.000000000000000000e+02
0.000000000000000000e+00,9.910000000000000000e+02,1.000000000000000000e+02
0.000000000000000000e+00,1.022000000000000000e+03,1.000000000000000000e+02
0.000000000000000000e+00,2.100000000000000000e+01,1.280000000000000000e+02
