t,x,y
0.000000000000000000e+00,1.000000000000000000e+00,3.100000000000000000e+01
0.000000000000000000e+00,6.300000000000000000e+01,1.700000000000000000e+01
0.000000000000000000e+00,6.400000000000000000e+01,1.000000000000000000e+00
0.000000000000000000e+00,1.080000000000000000e+02,1.500000000000000000e+01
0.000000000000000000e+00,1.530000000000000000e+02,1.600000000000000000e+01
0.000000000000000000e+00,1.600000000000000000e+02,1.600000000000000000e+01
0.000000000000000000e+00,1.920000000000000000e+02,1.600000000000000000e+01
0.000000000000000000e+00,2.340000000000000000e+02,1.400000000000000000e+01
0.000000000000000000e+00,2.870000000000000000e+02,1.500000000000000000e+01
0.000000000000000000e+00,3.170000000000000000e+02,1.400000000000000000e+01
0.000000000000000000e+00,3.200000000000000000e+02,2.000000000000000000e+00
0.000000000000000000e+00,3.620000000000000000e+02,1.000000000000000000e+01
0.000000000000000000e+00,4.040000000000000000e+02,1.500000000000000000e+01
0.000000000000000000e+00,4.280000000000000000e+02,1.500000000000000000e+01
0.000000000000000000e+00,4.480000000000000000e+02,1.600000000000000000e+01
0.000000000000000000e+00,4.900000000000000000e+02,3.100000000000000000e+01
0.000000000000000000e+00,5.120000000000000000e+02,1.400000000000000000e+01
0.000000000000000000e+00,5.540000000000000000e+02,3.100000000000000000e+01
0.000000000000000000e+00,6.070000000000000000e+02,1.500000000000000000e+01
0.000000000000000000e+00,6.160000000000000000e+02,1.500000000000000000e+01
0.000000000000000000e+00,6.400000000000000000e+02,1.500000000000000000e+01
0.000000000000000000e+00,6.820000000000000000e+02,2.000000000000000000e+00
0.000000000000000000e+00,7.210000000000000000e+02,1.500000000000000000e+01
0.000000000000000000e+00,7.670000000000000000e+02,7.000000000000000000e+00
0.000000000000000000e+00,7.890000000000000000e+02,1.500000000000000000e+01
0.000000000000000000e+00,8.100000000000000000e+02,1.600000000000000000e+01
0.000000000000000000e+00,8.540000000000000000e+02,1.500000000000000000e+01
0.000000000000000000e+00,8.740000000000000000e+02,1.500000000000000000e+01
0.000000000000000000e+00,9.170000000000000000e+02,1.300000000000000000e+01
0.000000000000000000e+00,9.590000000000000000e+02,1.500000000000000000e+01
0.000000000000000000e+00,9.810000000000000000e+02,1.500000000000000000e+01
0.000000000000000000e+00,1.002000000000000000e+03,1.400000000000000000e+01
0.000000000000000000e+00,2.800000000000000000e+01,5.000000000000000000e+01
0.000000000000000000e+00,3.300000000000000000e+01,5.300000000000000000e+01
